name,profile_url,email,source_url
Faculty,https://faculty-resources.law.columbia.edu/,,https://faculty-resources.law.columbia.edu/
Faculty & Scholarship,https://www.law.columbia.edu/faculty-scholarship,,https://www.law.columbia.edu/faculty-scholarship
Faculty Directory,https://www.law.columbia.edu/faculty-and-scholarship/all-faculty?type=23&aos=All,,https://www.law.columbia.edu/faculty-and-scholarship/all-faculty?type=23&aos=All
Research Centers and Programs,https://www.law.columbia.edu/faculty-scholarship/research-centers-and-programs,,https://www.law.columbia.edu/faculty-scholarship/research-centers-and-programs
"Workshops, Lectures, Colloquia, and Conferences",https://www.law.columbia.edu/faculty-scholarship/workshops-lectures-colloquia-and-conferences,,https://www.law.columbia.edu/faculty-scholarship/workshops-lectures-colloquia-and-conferences
Haley Anderson,https://www.law.columbia.edu/faculty/haley-anderson,,https://www.law.columbia.edu/faculty/haley-anderson
Kate Andrias,https://www.law.columbia.edu/faculty/kate-andrias,,https://www.law.columbia.edu/faculty/kate-andrias
Mehdi Ansari,https://www.law.columbia.edu/faculty/mehdi-ansari,,https://www.law.columbia.edu/faculty/mehdi-ansari
Rebecca Antar,https://www.law.columbia.edu/faculty/rebecca-antar,,https://www.law.columbia.edu/faculty/rebecca-antar
Kira Antell,https://www.law.columbia.edu/faculty/kira-antell,,https://www.law.columbia.edu/faculty/kira-antell
Sania Anwar,https://www.law.columbia.edu/faculty/sania-anwar,,https://www.law.columbia.edu/faculty/sania-anwar
Pedro Aranguez Dias,https://www.law.columbia.edu/faculty/pedro-aranguez-dias,,https://www.law.columbia.edu/faculty/pedro-aranguez-dias
Ralph Arditi,https://www.law.columbia.edu/faculty/ralph-arditi,,https://www.law.columbia.edu/faculty/ralph-arditi
Joanne Armstrong,https://www.law.columbia.edu/faculty/joanne-armstrong,,https://www.law.columbia.edu/faculty/joanne-armstrong
Keri Arnold,https://www.law.columbia.edu/faculty/keri-arnold,,https://www.law.columbia.edu/faculty/keri-arnold
Elliott Ash,https://www.law.columbia.edu/faculty/elliott-ash,,https://www.law.columbia.edu/faculty/elliott-ash
Eric S. Askanase,https://www.law.columbia.edu/faculty/eric-s-askanase,,https://www.law.columbia.edu/faculty/eric-s-askanase
Aditi Bagchi,https://www.law.columbia.edu/faculty/aditi-bagchi,,https://www.law.columbia.edu/faculty/aditi-bagchi
